,Open,High,Low,Close,Adj Close,Volume,UNRATE,FEDFUNDS,GDP_GROWTH,CSI,VIX,EMA12,EMA3,MACD,VWMA,RSI,STOCH
count,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0
mean,1619.8725790632911,1675.3981776683547,1563.0914685696205,1629.994833873418,1629.994833873418,53210733367.08861,0.05766075949367089,0.026011898734177204,0.024895330245171716,0.8576000000000001,19.544050632911393,1573.8263514291887,1619.1977266202912,45.371375191101954,1569.6850085101032,0.6201029733658693,0.7304838765937587
std,1079.5497180219302,1118.2224030297614,1039.9861962560103,1087.268036141774,1087.268036141774,37031554738.88435,0.01777257210475343,0.022002644861548452,0.019424660759679493,0.13354754281862846,7.7942377060716845,1036.389410875131,1076.5734804888082,95.42256426383805,1034.7440777090903,0.1376224194562654,0.22189193054332143
min,343.910004,370.959991,340.369995,367.070007,367.070007,3258730000.0,0.034,0.0005,-0.0752846021050371,0.5,9.45,339.0178842820513,350.5053923268229,-276.8282578092467,337.89323447267435,0.1596109761215707,0.1335145018733545
25%,950.7850035,984.6849975,891.100006,954.855011,954.855011,16326100000.0,0.044,0.00185,0.0179364373780172,0.7609999999999999,13.879999999999999,974.8215656292998,947.415790001942,10.992749842925832,940.418858102196,0.5383738894506118,0.6077233209357725
50%,1282.709961,1318.160034,1249.050049,1282.829956,1282.829956,63031510000.0,0.054,0.0213,0.0255947268887732,0.884,17.7,1257.370531212483,1287.647231371697,44.12420855802111,1268.599935040263,0.6394454298887944,0.8184535197099022
75%,2067.084961,2111.8549805000002,1997.13501,2067.724976,2067.724976,81034645000.0,0.067,0.05004999999999995,0.0357647303709243,0.955,22.869999999999997,2020.796046491486,2051.4610980103234,86.32937576308655,2031.295033700457,0.715666195808931,0.9022548945985311
max,4778.140137,4818.620117,4560.0,4769.830078,4769.830078,162185380000.0,0.148,0.0654,0.1195027221151961,1.12,68.51,4367.835782964316,4645.435266021282,421.06953086811336,4441.457124602426,0.9010281138899944,0.9784808844599904
