,High,Low,Adj Close,Volume,UNRATE,FEDFUNDS,GDP_GROWTH,CSI,VIX,MACD,VWMA,RSI,covid_flag
1,0.007650622,0.0348529,-0.001219987,-0.2865191531581576,0.049,0.004,0.0193118375625421,0.898,0.06280193236714973,0.49659693752912765,-0.6513496497057458,0.6400728282338772,0
2,-0.002711264,-0.0133406995,-0.0012352134,-0.21018602321816698,0.05,0.004,0.020564519190146,0.912,0.08464608275572358,0.49043552321780015,-0.6374012654669645,0.6367611578319754,0
3,-0.008385657,-0.002078561,-0.019616837,-0.43206471067893365,0.049,0.004,0.021815663030564,0.872,0.08653644192396556,0.4597239126683029,-0.6350143936558454,0.5848767789534229,0
4,0.02030318,-0.014734033,0.033603545,0.4067053100515244,0.047,0.0040999999999999,0.0215007714387582,0.938,0.19134635580760342,0.47791856005114586,-0.6274633149159816,0.6400686422880506,0
5,0.02824549,0.048543513,0.01803711,-0.30087289905456527,0.047,0.0054,0.0211870917367824,0.982,0.09703843730308762,0.4992153815336071,-0.6166289975728055,0.6666948645904922,0
6,0.010247925,0.02603149,0.017726315,-0.5584004668640109,0.047,0.0065,0.0208746169419668,0.985,0.0714135685780298,0.5201963740727024,-0.5964310797167371,0.691595813437447,0
7,0.030200088,0.011743023,0.036523,-0.6294497807254135,0.046,0.0066,0.0216861891481648,0.963,0.04956941818945601,0.5616155521548818,-0.5703051603568003,0.7369793951486784,0
8,0.012337429,0.022030147,-0.00038927296,0.040442283977163956,0.044,0.0079,0.0224960276301751,0.969,0.06490233144297416,0.5659938985233102,-0.5504843136261258,0.7356977244781572,0
9,-0.0011752391,0.002880958,0.009050133,-0.8396077186490811,0.044,0.009,0.0233041379375828,0.97,0.06154169292165515,0.5654745683418771,-0.5326888807442743,0.7469093511466806,0
10,0.008532584,0.010154592,0.011509759,-0.06458321490475777,0.044,0.0091,0.0235734279060703,0.971,0.013862633900441068,0.5659586409230499,-0.513242157966617,0.7611137911350698,0
11,0.014411697,0.022268808,0.004802226,0.008835525629113973,0.043,0.0104,0.0238414503246121,0.95,0.009241755933627416,0.5588989163527145,-0.4919799741445375,0.7671117115372226,0
12,0.012240261,0.0008310135,0.019164018,-0.9488038837641478,0.043,0.0115,0.0241082141217458,0.934,0.037177063642092,0.5666894821748762,-0.4766694849499424,0.7903087669920851,0
13,0.0027458114,0.004000025,0.00054628355,-0.5471404241770638,0.044,0.0116,0.0260597930392927,0.968,0.013442554085276198,0.5575758335884498,-0.45932011225059316,0.7909626538817852,0
14,0.011404538,0.01200695,0.01911904,-0.771864908113153,0.043,0.0115,0.0280041867853178,0.951,0.014282713715605994,0.5650059568207019,-0.43928966019314786,0.8133988874606175,0
15,0.024907133,0.02973869,0.02194556,-0.5307402324949287,0.042,0.0115,0.0299414349676176,1.007,0.0,0.582925869829553,-0.4133101680849538,0.8359099798558073,0
16,0.02853237,0.0145930685,0.02769554,-0.4049823852543562,0.042,0.0116,0.0310606054467829,0.985,0.015752993068683052,0.6120496364768439,-0.3840799555261823,0.8597835627645677,0
17,0.013910928,0.01862163,0.009783614,-0.8308667108379936,0.0409999999999999,0.013,0.0321761549251496,0.959,0.04158790170132326,0.6207135752592634,-0.3589969246380715,0.8673608136961675,0
18,0.06392451,0.029064765,0.0546574,-0.19424923889527035,0.04,0.0141,0.0332881009475912,0.957,0.006721277042638085,0.6816426429259681,-0.32545189457836887,0.9010281138899944,0
19,-0.012931081,-0.057415087,-0.03972611,-0.0529974908219823,0.0409999999999999,0.0141999999999999,0.0331882394639716,0.997,0.08443604284814119,0.6309490711771262,-0.30403527234577726,0.7491376600167166,0
20,-0.012082767,0.020787746,-0.027252497,-0.22205368044956994,0.04,0.0151,0.0330887493256763,1.014,0.2734719596723377,0.5552917886594515,-0.2859266766777975,0.6676819911744443,0
21,-0.030589066,-0.012487236,0.0027150859,-0.5790172334337608,0.04,0.0169,0.0329896284652201,0.988,0.2976265490443184,0.5146417171198078,-0.2716281761970208,0.6715163935323406,0
22,0.009066445,0.01585765,0.021378191,-0.2648335250919827,0.038,0.017,0.0324235687144282,0.98,0.12686410417979418,0.5167489287373667,-0.2529510637158393,0.7014636403462495,0
23,0.017793227,0.036840577,0.0048307492,-0.16331922812428984,0.04,0.0182,0.0318604690812941,0.982,0.08422600294055874,0.5149004279942317,-0.23369573367400764,0.7081099105008785,0
24,0.02005921,0.002582097,0.035387952,-0.8650767599454011,0.038,0.0191,0.0313003064071867,0.979,0.129174543163201,0.5535907620476095,-0.21560274070734858,0.7529573631585127,0
25,0.02375673,0.03544866,0.029814314,-0.6152920917886835,0.038,0.0191,0.0279254989419274,0.962,0.07771476580550304,0.6001618141727565,-0.1910032126068718,0.7844099921657268,0
